"Ano do obito";"Masc";"Fem";"Ignorado";"Total"
"1996";5332;1407;4;6743
"1997";5496;1423;4;6923
"1998";5525;1457;7;6989
"1999";5300;1230;-;6530
"2000";5398;1382;-;6780
"2001";6177;1560;1;7738
"2002";6028;1694;4;7726
"2003";6256;1604;1;7861
"2004";6311;1706;-;8017
"2005";6744;1805;1;8550
"2006";6834;1805;-;8639
"2007";6995;1872;1;8868
"2008";7375;1953;-;9328
"2009";7500;1872;2;9374
"2010";7375;2073;-;9448
"2011";7762;2089;1;9852
"2012";8061;2257;3;10321
"2013";8309;2223;1;10533
"2014";8419;2233;1;10653
"2015";8780;2396;2;11178
"2016";9053;2378;2;11433
"Total";145030;38419;35;183484
